assessment_id,customer_id,course_id,completion_rate,rating,completion_date
A000001,U0001,C004,1.0,3.5,2022-12-20
A000002,U0001,C013,1.0,4.0,2023-01-26
A000003,U0001,C008,0.69,,2024-01-07
A000004,U0001,C014,0.76,,2024-11-09
A000005,U0002,C014,0.65,4.5,2023-02-24
A000006,U0002,C007,0.89,,2024-01-12
A000007,U0002,C008,0.51,3.0,
A000008,U0003,C001,1.0,3.0,2023-12-29
A000009,U0003,C012,0.88,5.0,2024-05-13
A000010,U0004,C008,0.72,4.5,2024-12-06
A000011,U0004,C009,0.92,5.0,2024-12-15
A000012,U0004,C013,1.0,5.0,2024-11-06
A000013,U0004,C006,1.0,4.5,2024-12-08
A000014,U0004,C011,0.98,,2024-11-12
A000015,U0004,C012,1.0,,2024-11-16
A000016,U0004,C004,0.86,4.5,2024-11-21
A000017,U0004,C001,0.59,4.5,
A000018,U0004,C002,0.78,5.0,2024-12-13
A000019,U0004,C014,0.18,4.0,
A000020,U0004,C010,1.0,4.0,2024-12-16
A000021,U0004,C015,0.94,4.5,2024-12-12
A000022,U0005,C008,0.25,4.0,
A000023,U0005,C011,0.43,,
A000024,U0005,C006,0.7,,
A000025,U0005,C004,0.5,4.0,
A000026,U0005,C002,0.08,4.0,
A000027,U0005,C014,0.05,3.0,
A000028,U0005,C009,0.66,4.0,
A000029,U0006,C005,0.79,2.5,2023-05-28
A000030,U0006,C006,1.0,,2023-07-14
A000031,U0006,C007,0.95,,2024-03-22
A000032,U0006,C012,0.94,,2024-05-12
A000033,U0006,C011,0.79,4.0,
A000034,U0007,C004,0.89,4.0,2023-06-28
A000035,U0007,C003,0.52,5.0,
A000036,U0007,C005,0.79,4.0,2024-04-14
A000037,U0008,C010,0.99,4.5,2024-12-20
A000038,U0009,C015,0.95,,2023-06-15
A000039,U0009,C005,0.78,4.0,2024-08-31
A000040,U0009,C002,0.24,4.5,
A000041,U0009,C011,1.0,,2024-11-14
A000042,U0009,C012,0.93,5.0,2024-12-22
A000043,U0009,C010,0.94,4.5,2024-12-26
A000044,U0009,C009,0.29,3.5,
A000045,U0009,C013,1.0,4.5,2024-10-20
A000046,U0009,C014,0.78,,2024-12-10
A000047,U0009,C004,0.86,5.0,2024-11-12
A000048,U0010,C012,0.9,4.5,2023-10-16
A000049,U0010,C002,0.32,3.5,
A000050,U0010,C010,1.0,4.5,2024-01-25
A000051,U0010,C009,0.97,,2024-06-11
A000052,U0010,C003,0.58,4.5,
A000053,U0010,C006,0.98,,2024-09-18
A000054,U0010,C008,0.84,4.0,2024-12-31
A000055,U0011,C001,0.92,,2024-04-14
A000056,U0011,C010,1.0,4.0,2024-06-17
A000057,U0011,C012,0.99,5.0,2024-11-22
A000058,U0011,C014,0.45,3.5,
