customer_id,joining_date
U0001,2022-09-29
U0002,2022-06-12
U0003,2023-08-03
U0004,2024-10-05
U0005,2022-01-02
U0006,2022-10-02
U0007,2022-04-30
U0008,2023-04-27
U0009,2023-02-01
U0010,2023-07-25
U0011,2024-01-17
U0012,2023-01-10
U0013,2022-12-30
U0014,2023-03-07
U0015,2022-08-30
U0016,2024-04-24
U0017,2022-10-11
U0018,2024-06-05
U0019,2024-05-29
U0020,2023-12-27
U0021,2023-08-23
U0022,2023-10-11
U0023,2022-01-01
U0024,2024-10-15
U0025,2022-04-19
U0026,2023-12-21
U0027,2022-04-16
U0028,2024-04-15
U0029,2022-02-20
U0030,2022-03-27
U0031,2023-04-13
U0032,2024-02-09
U0033,2022-08-28
U0034,2022-10-02
U0035,2022-03-23
U0036,2022-02-03
U0037,2024-07-15
U0038,2022-04-07
U0039,2024-07-07
U0040,2022-11-17
U0041,2023-07-30
U0042,2023-01-16
U0043,2024-06-21
U0044,2023-07-30
U0045,2022-06-30
U0046,2022-12-29
U0047,2022-10-10
U0048,2023-09-01
U0049,2023-12-16
U0050,2023-03-05
U0051,2022-12-09
U0052,2023-10-01
U0053,2022-02-21
U0054,2023-06-25
U0055,2024-11-22
U0056,2022-03-01
U0057,2023-05-19
U0058,2022-01-22
U0059,2022-02-21
U0060,2022-12-27
U0061,2022-01-12
U0062,2022-03-30
U0063,2022-01-08
U0064,2024-05-08
U0065,2022-05-06
U0066,2022-11-11
U0067,2022-12-04
U0068,2022-08-06
U0069,2022-08-30
U0070,2023-08-02
U0071,2023-04-29
U0072,2023-01-14
U0073,2024-06-20
U0074,2022-02-05
U0075,2023-04-13
U0076,2022-12-03
U0077,2024-06-07
U0078,2024-01-13
U0079,2022-05-07
U0080,2022-01-16
U0081,2024-07-28
U0082,2022-02-17
U0083,2022-04-04
U0084,2022-11-02
U0085,2022-11-20
U0086,2023-03-05
U0087,2024-04-24
U0088,2024-11-14
U0089,2023-06-30
U0090,2022-11-17
U0091,2024-09-25
U0092,2023-05-12
U0093,2022-06-03
U0094,2022-04-12
U0095,2023-01-14
U0096,2024-02-25
U0097,2024-05-26
U0098,2022-12-09
U0099,2022-09-15
U0100,2023-08-16
