login_id,customer_id,course_id,login_date,login_duration
L0000001,U0001,C004,2022-11-13,99
L0000002,U0001,C004,2022-11-22,100
L0000003,U0001,C004,2022-12-14,106
L0000004,U0001,C004,2022-12-20,39
L0000005,U0001,C004,2022-12-23,85
L0000006,U0001,C004,2023-01-11,96
L0000007,U0001,C004,2023-01-28,91
L0000008,U0001,C004,2023-02-18,95
L0000009,U0001,C004,2023-02-24,26
L0000010,U0001,C004,2023-04-23,96
L0000011,U0001,C013,2023-01-18,102
L0000012,U0001,C013,2023-02-03,35
L0000013,U0001,C013,2023-02-21,84
L0000014,U0001,C013,2023-02-23,60
L0000015,U0001,C013,2023-02-27,83
L0000016,U0001,C013,2023-03-04,66
L0000017,U0001,C013,2023-03-08,68
L0000018,U0001,C013,2023-03-13,31
L0000019,U0001,C013,2023-03-18,87
L0000020,U0001,C013,2023-05-21,102
L0000021,U0001,C013,2023-05-30,32
L0000022,U0001,C008,2023-09-24,85
L0000023,U0001,C008,2023-10-18,109
L0000024,U0001,C008,2023-11-24,95
L0000025,U0001,C008,2023-11-29,69
L0000026,U0001,C008,2023-11-30,23
L0000027,U0001,C008,2023-12-13,76
L0000028,U0001,C008,2023-12-13,52
L0000029,U0001,C008,2023-12-31,87
L0000030,U0001,C008,2024-01-22,37
L0000031,U0001,C008,2024-01-25,34
L0000032,U0001,C008,2024-01-26,48
L0000033,U0001,C008,2024-02-28,73
L0000034,U0001,C008,2024-02-29,91
L0000035,U0001,C008,2024-02-29,31
L0000036,U0001,C014,2024-10-18,62
L0000037,U0001,C014,2024-10-22,100
L0000038,U0001,C014,2024-10-26,51
L0000039,U0001,C014,2024-10-31,21
L0000040,U0001,C014,2024-11-04,62
L0000041,U0001,C014,2024-11-10,112
L0000042,U0001,C014,2024-11-13,53
L0000043,U0001,C014,2024-11-16,80
L0000044,U0001,C014,2024-12-04,117
L0000045,U0001,C014,2024-12-10,63
L0000046,U0001,C014,2024-12-19,30
L0000047,U0001,C014,2024-12-20,50
L0000048,U0001,C014,2024-12-29,57
L0000049,U0001,C014,2024-12-31,63
L0000050,U0002,C014,2023-01-12,102
L0000051,U0002,C014,2023-01-26,49
L0000052,U0002,C014,2023-02-03,91
L0000053,U0002,C014,2023-02-06,89
L0000054,U0002,C014,2023-02-08,50
L0000055,U0002,C014,2023-02-14,73
L0000056,U0002,C014,2023-02-25,44
L0000057,U0002,C014,2023-03-12,92
L0000058,U0002,C014,2023-05-04,101
L0000059,U0002,C014,2023-05-22,75
L0000060,U0002,C014,2023-05-24,91
L0000061,U0002,C014,2023-07-01,71
L0000062,U0002,C014,2023-07-03,91
L0000063,U0002,C007,2023-12-16,58
L0000064,U0002,C007,2024-01-12,76
L0000065,U0002,C007,2024-01-15,85
L0000066,U0002,C007,2024-03-14,34
L0000067,U0002,C007,2024-03-16,24
L0000068,U0002,C007,2024-03-21,27
L0000069,U0002,C007,2024-03-24,96
L0000070,U0002,C007,2024-03-27,93
