purchase_id,customer_id,course_id,purchase_date,amount_paid
P000001,U0001,C004,2022-11-11,99
P000002,U0001,C013,2023-01-02,69
P000003,U0001,C008,2023-09-05,29
P000004,U0001,C014,2024-10-18,79
P000005,U0002,C014,2023-01-08,79
P000006,U0002,C007,2023-12-04,19
P000007,U0002,C008,2024-09-23,29
P000008,U0003,C001,2023-09-12,99
P000009,U0003,C012,2024-04-01,49
P000010,U0004,C008,2024-10-08,29
P000011,U0004,C009,2024-10-10,39
P000012,U0004,C013,2024-10-20,69
P000013,U0004,C006,2024-10-26,49
P000014,U0004,C011,2024-10-30,79
P000015,U0004,C012,2024-10-30,49
P000016,U0004,C004,2024-11-03,99
P000017,U0004,C001,2024-11-06,99
P000018,U0004,C002,2024-11-07,89
P000019,U0004,C014,2024-11-09,79
P000020,U0004,C010,2024-11-10,49
P000021,U0004,C015,2024-11-10,89
P000022,U0005,C008,2022-11-30,29
P000023,U0005,C011,2023-02-04,79
P000024,U0005,C006,2023-07-19,49
P000025,U0005,C004,2024-05-14,99
P000026,U0005,C002,2024-07-02,89
P000027,U0005,C014,2024-08-21,79
P000028,U0005,C009,2024-08-28,39
P000029,U0006,C005,2023-03-27,49
P000030,U0006,C006,2023-05-30,49
P000031,U0006,C007,2023-12-04,19
P000032,U0006,C012,2024-04-24,49
P000033,U0006,C011,2024-07-15,79
P000034,U0007,C004,2023-02-10,99
P000035,U0007,C003,2024-01-17,79
P000036,U0007,C005,2024-01-25,49
P000037,U0008,C010,2024-12-12,49
P000038,U0009,C015,2023-05-26,89
P000039,U0009,C005,2024-06-04,49
P000040,U0009,C002,2024-07-13,89
P000041,U0009,C011,2024-07-22,79
P000042,U0009,C012,2024-07-23,49
P000043,U0009,C010,2024-08-01,49
P000044,U0009,C009,2024-08-04,39
P000045,U0009,C013,2024-08-19,69
P000046,U0009,C014,2024-11-02,79
P000047,U0009,C004,2024-11-06,99
P000048,U0010,C012,2023-09-21,49
P000049,U0010,C002,2023-10-29,89
P000050,U0010,C010,2023-12-14,49
P000051,U0010,C009,2024-01-12,39
P000052,U0010,C003,2024-02-24,79
P000053,U0010,C006,2024-08-23,49
P000054,U0010,C008,2024-11-13,29
P000055,U0011,C001,2024-02-08,99
P000056,U0011,C010,2024-03-21,49
P000057,U0011,C012,2024-05-29,49
P000058,U0011,C014,2024-08-17,79
P000059,U0011,C003,2024-09-18,79
P000060,U0012,C008,2023-05-12,29
P000061,U0012,C013,2024-08-18,69
P000062,U0012,C004,2024-10-14,99
P000063,U0013,C001,2023-03-20,99
P000064,U0013,C003,2023-04-18,79
P000065,U0014,C012,2023-10-06,49
P000066,U0015,C004,2023-01-25,99
P000067,U0015,C003,2024-03-09,79
P000068,U0015,C005,2024-10-18,49
P000069,U0016,C005,2024-04-28,49
P000070,U0016,C001,2024-05-17,99
P000071,U0016,C007,2024-06-17,19
P000072,U0016,C014,2024-07-25,79
P000073,U0016,C008,2024-09-08,29
P000074,U0016,C002,2024-09-16,89
P000075,U0016,C012,2024-10-07,49
P000076,U0017,C002,2023-08-02,89
P000077,U0017,C003,2023-08-26,79
P000078,U0017,C006,2024-01-19,49
P000079,U0017,C009,2024-02-25,39
P000080,U0017,C008,2024-06-24,29
P000081,U0017,C010,2024-10-24,49
P000082,U0018,C014,2024-06-18,79
P000083,U0018,C002,2024-07-08,89
P000084,U0018,C001,2024-07-21,99
P000085,U0018,C004,2024-09-08,99
P000086,U0018,C009,2024-09-14,39
P000087,U0018,C013,2024-10-04,69
P000088,U0018,C012,2024-10-11,49
P000089,U0018,C008,2024-10-27,29
P000090,U0018,C007,2024-11-18,19
P000091,U0018,C010,2024-11-22,49
P000092,U0019,C013,2024-07-25,69
P000093,U0019,C007,2024-07-30,19
P000094,U0019,C003,2024-09-03,79
P000095,U0019,C004,2024-09-08,99
P000096,U0019,C015,2024-09-10,89
P000097,U0019,C005,2024-09-29,49
P000098,U0019,C008,2024-10-13,29
P000099,U0019,C001,2024-10-17,99
P000100,U0019,C010,2024-11-07,49
P000101,U0020,C003,2024-01-04,79
P000102,U0020,C013,2024-01-06,69
P000103,U0020,C014,2024-01-25,79
P000104,U0020,C001,2024-02-19,99
P000105,U0021,C006,2023-10-09,49
P000106,U0021,C004,2023-10-12,99
P000107,U0021,C007,2024-02-01,19
P000108,U0021,C012,2024-02-04,49
P000109,U0021,C013,2024-09-29,69
P000110,U0022,C005,2024-01-16,49
P000111,U0022,C012,2024-01-16,49
P000112,U0022,C010,2024-02-04,49
P000113,U0022,C015,2024-03-16,89
P000114,U0022,C004,2024-04-30,99
P000115,U0023,C007,2022-01-24,19
P000116,U0023,C011,2024-04-11,79
P000117,U0023,C006,2024-12-01,49
P000118,U0024,C004,2024-10-23,99
P000119,U0024,C012,2024-10-24,49
P000120,U0024,C015,2024-11-03,89
P000121,U0024,C013,2024-11-13,69
P000122,U0024,C002,2024-12-04,89
P000123,U0024,C014,2024-12-05,79
P000124,U0024,C001,2024-12-20,99
P000125,U0024,C010,2024-12-20,49
P000126,U0024,C009,2024-12-20,39
P000127,U0025,C011,2023-08-30,79
P000128,U0025,C005,2023-12-19,49
P000129,U0025,C014,2024-12-22,79
P000130,U0026,C006,2024-03-04,49
P000131,U0026,C005,2024-03-20,49
P000132,U0026,C015,2024-12-16,89
P000133,U0027,C008,2023-03-04,29
P000134,U0027,C001,2023-04-16,99
P000135,U0027,C004,2024-07-18,99
P000136,U0027,C009,2024-07-18,39
P000137,U0027,C012,2024-12-05,49
P000138,U0028,C010,2024-05-18,49
P000139,U0028,C006,2024-06-30,49
P000140,U0028,C009,2024-10-26,39
P000141,U0028,C011,2024-11-22,79
P000142,U0029,C015,2022-08-07,89
P000143,U0029,C006,2022-09-17,49
P000144,U0029,C011,2023-01-26,79
P000145,U0029,C009,2023-05-01,39
P000146,U0029,C003,2023-09-11,79
P000147,U0029,C008,2023-09-16,29
P000148,U0029,C014,2023-12-14,79
P000149,U0029,C005,2023-12-28,49
P000150,U0029,C013,2024-05-10,69
P000151,U0029,C002,2024-05-12,89
P000152,U0029,C012,2024-12-18,49
P000153,U0029,C004,2024-12-29,99
P000154,U0030,C014,2022-09-06,79
P000155,U0030,C007,2022-09-30,19
P000156,U0030,C013,2023-05-14,69
P000157,U0030,C005,2023-10-29,49
P000158,U0030,C012,2024-06-17,49
P000159,U0031,C006,2023-09-13,49
P000160,U0031,C008,2023-09-18,29
P000161,U0031,C011,2024-09-05,79
P000162,U0031,C001,2024-11-11,99
P000163,U0031,C002,2024-11-13,89
P000164,U0032,C011,2024-03-15,79
P000165,U0032,C013,2024-04-04,69
P000166,U0032,C009,2024-04-23,39
P000167,U0032,C004,2024-09-19,99
P000168,U0033,C004,2022-10-30,99
P000169,U0033,C005,2023-01-14,49
P000170,U0033,C013,2023-07-25,69
P000171,U0033,C002,2023-10-30,89
P000172,U0033,C008,2024-05-20,29
P000173,U0033,C001,2024-08-09,99
P000174,U0034,C003,2023-03-20,79
P000175,U0034,C004,2023-04-04,99
P000176,U0034,C005,2023-10-04,49
P000177,U0034,C014,2024-01-08,79
P000178,U0034,C002,2024-03-17,89
P000179,U0034,C009,2024-03-25,39
P000180,U0034,C011,2024-12-03,79
P000181,U0035,C008,2024-01-08,29
P000182,U0035,C003,2024-02-24,79
P000183,U0035,C011,2024-05-25,79
P000184,U0035,C006,2024-06-09,49
P000185,U0035,C015,2024-07-10,89
P000186,U0036,C013,2022-06-10,69
P000187,U0036,C004,2022-10-20,99
P000188,U0036,C009,2023-01-12,39
P000189,U0036,C012,2023-01-16,49
P000190,U0036,C002,2023-03-04,89
P000191,U0036,C010,2023-03-28,49
P000192,U0036,C006,2023-06-23,49
P000193,U0036,C005,2023-10-29,49
P000194,U0036,C014,2023-12-17,79
P000195,U0036,C001,2024-06-13,99
P000196,U0036,C008,2024-07-29,29
P000197,U0036,C011,2024-11-23,79
P000198,U0037,C012,2024-10-14,49
P000199,U0037,C005,2024-10-21,49
P000200,U0037,C003,2024-11-05,79
P000201,U0037,C001,2024-12-27,99
P000202,U0038,C015,2022-04-21,89
P000203,U0038,C011,2022-08-26,79
P000204,U0038,C002,2023-02-21,89
P000205,U0038,C005,2023-04-04,49
P000206,U0038,C008,2023-09-12,29
P000207,U0038,C001,2023-12-18,99
P000208,U0038,C004,2024-05-14,99
P000209,U0038,C007,2024-12-01,19
P000210,U0039,C013,2024-07-10,69
P000211,U0039,C008,2024-07-16,29
P000212,U0039,C012,2024-07-16,49
P000213,U0039,C005,2024-07-30,49
P000214,U0039,C004,2024-07-30,99
P000215,U0039,C011,2024-08-02,79
P000216,U0039,C006,2024-08-19,49
P000217,U0039,C009,2024-08-23,39
P000218,U0039,C003,2024-08-29,79
P000219,U0040,C010,2023-07-03,49
P000220,U0040,C013,2023-08-15,69
P000221,U0040,C003,2024-06-23,79
P000222,U0040,C015,2024-07-14,89
P000223,U0040,C006,2024-10-23,49
P000224,U0041,C009,2023-08-03,39
P000225,U0041,C012,2023-08-18,49
P000226,U0041,C005,2023-11-12,49
P000227,U0041,C013,2024-01-09,69
P000228,U0042,C006,2023-10-10,49
P000229,U0042,C003,2023-12-08,79
P000230,U0042,C010,2023-12-09,49
P000231,U0042,C009,2024-03-04,39
P000232,U0042,C001,2024-04-12,99
P000233,U0042,C007,2024-04-17,19
P000234,U0042,C013,2024-04-19,69
P000235,U0042,C012,2024-05-17,49
P000236,U0042,C011,2024-11-15,79
P000237,U0042,C004,2024-12-15,99
P000238,U0043,C006,2024-07-30,49
P000239,U0043,C010,2024-08-04,49
P000240,U0043,C011,2024-08-09,79
P000241,U0043,C015,2024-08-10,89
P000242,U0043,C007,2024-10-16,19
P000243,U0043,C014,2024-10-23,79
P000244,U0043,C002,2024-11-07,89
P000245,U0043,C009,2024-11-25,39
P000246,U0043,C012,2024-11-26,49
P000247,U0043,C004,2024-11-29,99
P000248,U0043,C001,2024-12-08,99
P000249,U0043,C005,2024-12-17,49
P000250,U0044,C006,2024-02-11,49
P000251,U0044,C014,2024-03-08,79
P000252,U0044,C010,2024-03-26,49
P000253,U0045,C003,2022-08-04,79
P000254,U0045,C007,2022-10-27,19
P000255,U0045,C001,2023-01-28,99
P000256,U0045,C011,2023-06-13,79
P000257,U0045,C009,2023-09-15,39
P000258,U0045,C015,2024-09-11,89
P000259,U0046,C004,2024-04-30,99
P000260,U0046,C013,2024-06-14,69
P000261,U0046,C011,2024-08-24,79
P000262,U0047,C012,2022-11-19,49
P000263,U0047,C002,2023-02-06,89
P000264,U0047,C015,2023-05-10,89
P000265,U0047,C005,2023-11-28,49
P000266,U0047,C004,2023-12-29,99
P000267,U0047,C011,2024-07-17,79
P000268,U0047,C014,2024-07-26,79
P000269,U0047,C001,2024-11-20,99
P000270,U0047,C007,2024-12-22,19
P000271,U0048,C014,2024-01-27,79
P000272,U0048,C005,2024-03-31,49
P000273,U0048,C012,2024-05-07,49
P000274,U0048,C013,2024-06-26,69
P000275,U0048,C002,2024-10-27,89
P000276,U0049,C004,2024-03-03,99
P000277,U0049,C005,2024-03-19,49
P000278,U0049,C003,2024-05-01,79
P000279,U0049,C013,2024-08-20,69
P000280,U0049,C014,2024-09-17,79
P000281,U0049,C009,2024-09-20,39
P000282,U0049,C012,2024-10-16,49
P000283,U0049,C002,2024-10-19,89
P000284,U0049,C015,2024-11-01,89
P000285,U0050,C001,2023-05-24,99
P000286,U0050,C014,2024-09-15,79
P000287,U0050,C015,2024-09-15,89
P000288,U0051,C004,2023-09-15,99
P000289,U0052,C002,2023-12-13,89
P000290,U0052,C012,2023-12-15,49
P000291,U0052,C001,2024-01-24,99
P000292,U0052,C010,2024-07-13,49
P000293,U0052,C008,2024-07-13,29
P000294,U0053,C008,2022-06-27,29
P000295,U0053,C010,2022-11-21,49
P000296,U0053,C012,2023-01-24,49
P000297,U0053,C004,2023-03-13,99
P000298,U0053,C005,2023-09-09,49
